Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4452,Travel and Tourism,Aviation,0hrs 464min,Aviation - Introduction to Aviation,https://www.youtube.com/watch?v=USnPFaqcuT4
4453,Travel and Tourism,Aviation,,Aviation - Terminologies,https://www.youtube.com/watch?v=GadeZEL9j6U
4454,Travel and Tourism,Aviation,,Aviation - Theory of Flight,https://www.youtube.com/watch?v=PhDfkGYw6eE
4455,Travel and Tourism,Aviation,,Aviation - How to Become a Flight Attendant & the Journey,https://www.youtube.com/watch?v=OUvM4uUkTO8
4456,Travel and Tourism,Aviation,,Aviation - Different Aircraft Types & Cabin Crew Training,https://www.youtube.com/watch?v=69wTU5xkI0Y
4457,Travel and Tourism,Aviation,,Aviation - CRM Crew Resource Management,https://www.youtube.com/watch?v=c-8rLmxAyH0
4458,Travel and Tourism,Aviation,,Aviation - Safety Equipment & Checks In flight,https://www.youtube.com/watch?v=ZPkZc4Y200s
4459,Travel and Tourism,Aviation,,Aviation - Cabin Crew Duties Normal Operations,https://www.youtube.com/watch?v=5DiS2uv4n9k
4460,Travel and Tourism,Aviation,,Aviation - Cabin Crew Duties - Abnormal Operations,https://www.youtube.com/watch?v=BdXa02QpSm4
4461,Travel and Tourism,Aviation,,Aviation - Cabin Crew Duties - Emergency Situations,https://www.youtube.com/watch?v=bKpvKd1BTeo
4462,Travel and Tourism,Aviation,,Aviation - Special Attention Passengers & Briefings,https://www.youtube.com/watch?v=XyU4e_00hwQ
4463,Travel and Tourism,Aviation,,Aviation - In-flight Communication System,https://www.youtube.com/watch?v=b2R_sCHk3Jw
4464,Travel and Tourism,Aviation,,Aviation - Aircraft Description,https://www.youtube.com/watch?v=eLAVMI-idwY
4465,Travel and Tourism,Aviation,,Aviation - Flight Deck,https://www.youtube.com/watch?v=Ve4-bxSKas4
4466,Travel and Tourism,Aviation,,Aviation - Aviation First Aid,https://www.youtube.com/watch?v=VwY6QHCAxDM
4467,Travel and Tourism,Aviation,,Aviation - Carry-on Baggage & Checked-in Baggage,https://www.youtube.com/watch?v=3v0Y3Op8vR4
4468,Travel and Tourism,Aviation,,Aviation - Customer Service,https://www.youtube.com/watch?v=w1hcULjoMN0
4469,Travel and Tourism,Aviation,,Aviation - Abnormal Happenings,https://www.youtube.com/watch?v=vvgmlqNaLBE
4470,Travel and Tourism,Aviation,,Aviation - Chain of Commands & CREW Hierarchy,https://www.youtube.com/watch?v=Ih9l1twp9-I
4471,Travel and Tourism,Aviation,,Aviation - Food and Hygiene,https://www.youtube.com/watch?v=yf9tCgvC4-8
4472,Travel and Tourism,Aviation,,Tutorix Simply Easy Learning Steps,https://www.youtube.com/watch?v=1iJn6quPp50
4473,Travel and Tourism,Aviation,,Tutorix Brings Simply Easy Learning,https://www.youtube.com/watch?v=lezQQ0d1pxc
