Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
11752,Library Science,IGNOU BLIS - 222 Information Sources and Services,108hrs 15min,Categorisation Of Resources  -  IGNOU - BLIS 222 Unit - 1  #IGNOU_BLIS,https://www.youtube.com/watch?v=Jiqjq6PJxdA,Module 1: Introduction to Information Sources,1,12th,English/Hindi
11753,Library Science,IGNOU BLIS - 222 Information Sources and Services,,Primary Sources  IGNOU - BLIS 222  -  Unit 2  #IGNOU_BLIS,https://www.youtube.com/watch?v=rx9sG5hzeyQ,Module 1: Introduction to Information Sources,1,12th,English/Hindi
11754,Library Science,IGNOU BLIS - 222 Information Sources and Services,,Secondary and Tertiary Sources  IGNOU BLIS 221 Unit - 3  #IGNOU  #BLIS,https://www.youtube.com/watch?v=RsQoHC3h7MI,Module 2: Primary and Secondary Sources,2,12th,English/Hindi
11755,Library Science,IGNOU BLIS - 222 Information Sources and Services,,Human as a Source of Information  IGNOU BLIS - Unit 5  #ignou #BLIS,https://www.youtube.com/watch?v=2a3UbhIZMf8,Module 2: Primary and Secondary Sources,2,12th,English/Hindi
11756,Library Science,IGNOU BLIS - 222 Information Sources and Services,,Institution as a source of Information  IGNOU BLIS 221 Unit 6  #IGNOU  #BLIS,https://www.youtube.com/watch?v=ak87isdBmx8,Module 3: Human and Institutional Sources,3,12th,English/Hindi
11757,Library Science,IGNOU BLIS - 222 Information Sources and Services,,Media as a Source of Information  IGNOU BLIS 222 - Unit - 7   #ignou  #BLIS,https://www.youtube.com/watch?v=jIOt3H_0mAs,Module 3: Human and Institutional Sources,3,12th,English/Hindi
11758,Library Science,IGNOU BLIS - 222 Information Sources and Services,,Information Services: An Overview  IGNOU BLIS Unit 8   #IGNOU  #BLIS,https://www.youtube.com/watch?v=P_nXas1JgMo,Module 4: Media and Information Services,4,12th,English/Hindi
11759,Library Science,IGNOU BLIS - 222 Information Sources and Services,,"Types of Services: Reference Services, CAS, etc  IGNOU BLIS Unit - 9  #IGNOU #BLIS",https://www.youtube.com/watch?v=w9QxkkTjiOo,Module 4: Media and Information Services,4,12th,English/Hindi
11760,Library Science,IGNOU BLIS - 222 Information Sources and Services,,Literature Search and Database Services IGNOU BLIS 222 Unit - 10  #IGNOU  #BLIS,https://www.youtube.com/watch?v=Lzekwihlyz8,Module 5: Reference and Database Services,5,12th,English/Hindi
11761,Library Science,IGNOU BLIS - 222 Information Sources and Services,,User Education and Information Literacy  IGNOU BLIS Unit - 11  #IGNOU  #BLIS,https://www.youtube.com/watch?v=AReY5xkgJVk,Module 5: Reference and Database Services,5,12th,English/Hindi
11762,Library Science,IGNOU BLIS - 222 Information Sources and Services,,User Studies  IGNOU BLIS 222 Unit - 12  #IGNOU  #BLIS,https://www.youtube.com/watch?v=p7Nc0GIAK0Q,Module 6: User-centric Services,6,12th,English/Hindi
11763,Library Science,IGNOU BLIS - 222 Information Sources and Services,,Marketing of Information Services  IGNOU BLIS 222 Unit - 14   #IGNOU   #BLIS,https://www.youtube.com/watch?v=JRHJayXtGRA,Module 6: User-centric Services,6,12th,English/Hindi
