Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4671,Human Resource Management,Employee Engagement,3hrs 21min,What Makes Gallup’s Q12 the Best Employee Engagement Survey?,https://www.youtube.com/watch?v=RFlDM8a_9mk
4672,Human Resource Management,Employee Engagement,,Why is Employee Engagement Important?,https://www.youtube.com/watch?v=KZjKY9I6UYE
4673,Human Resource Management,Employee Engagement,,What Is Gallup’s Q12 Employee Engagement Survey,https://www.youtube.com/watch?v=VMYAuk1fdtQ
4674,Human Resource Management,Employee Engagement,,Why Work Expectations are Integral to Employee Engagement,https://www.youtube.com/watch?v=6_t6JPGkqZY
4675,Human Resource Management,Employee Engagement,,How Work Equipment and Materials Impact Employee Engagement,https://www.youtube.com/watch?v=XMwR3sqIph4
4676,Human Resource Management,Employee Engagement,,Why Recognition Improves Employee Engagement,https://www.youtube.com/watch?v=oUnSQZKLn_E
4677,Human Resource Management,Employee Engagement,,How Gallup’s Q12 Survey Drives Organizational Performance,https://www.youtube.com/watch?v=2-UjtG688y8
4678,Human Resource Management,Employee Engagement,,How to Give Your Employees the Opportunity to Use Their Strengths,https://www.youtube.com/watch?v=FmqnYmbW68s
4679,Human Resource Management,Employee Engagement,,How Caring for Employees Improves Employee Engagement,https://www.youtube.com/watch?v=wiRbcuJoAPc
4680,Human Resource Management,Employee Engagement,,Why Encouraging Employee Development Boosts Engagement,https://www.youtube.com/watch?v=GzcBO7svAkY
4681,Human Resource Management,Employee Engagement,,How Listening to Employees' Opinions Can Grow Engagement,https://www.youtube.com/watch?v=6DAX9tMn5Xw
4682,Human Resource Management,Employee Engagement,,How to Connect Your Employee's Role to the Company Mission,https://www.youtube.com/watch?v=O7Cx49nr5v8
4683,Human Resource Management,Employee Engagement,,How a Culture of Quality Work Boosts Employee Engagement,https://www.youtube.com/watch?v=DTVcgWddaBo
4684,Human Resource Management,Employee Engagement,,Why Having a Best Friend at Work Improves Engagement,https://www.youtube.com/watch?v=asFTR-ueP9I
4685,Human Resource Management,Employee Engagement,,How Progress Reviews with Employees Can Improve Engagement,https://www.youtube.com/watch?v=06llMDVSvhQ
4686,Human Resource Management,Employee Engagement,,How Continuous Learning for Employees Boosts Engagement,https://www.youtube.com/watch?v=uX0zyaj5kKk
4687,Human Resource Management,Employee Engagement,,Gallup Access Platform Demo,https://www.youtube.com/watch?v=xKhlHyPxDcM
