Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4431,Human Resource Management,Recruitment & Selection,10hrs 13min,Recruitment and Selection || What is Recruitment and Selection? || HR Tutorials India || Recruitment,https://www.youtube.com/watch?v=2DadIQW5ep4
4432,Human Resource Management,Recruitment & Selection,,What is Recruitment? || Importance of Recruitment || HR Tutorials India || Importance of Recruitment,https://www.youtube.com/watch?v=nmajfZiMlzY
4433,Human Resource Management,Recruitment & Selection,,Factors Affecting Recruitment || What Factors Affect Recruitment? || HR Tutorials India,https://www.youtube.com/watch?v=tkTLajcLRbE
4434,Human Resource Management,Recruitment & Selection,,Recruitment Process || Process of Recruitment || HR Tutorials India || Process of Recruitment in HRM,https://www.youtube.com/watch?v=TYAn3hWkhX8
4435,Human Resource Management,Recruitment & Selection,,Recruitment Planing || Recruitment Plan || HR Tutorials India || Planning of Recruitment,https://www.youtube.com/watch?v=5xEzVFrN3wA
4436,Human Resource Management,Recruitment & Selection,,Recruitment Strategy || Strategic Recruitment || HR Tutorials India || Recruitment Strategies,https://www.youtube.com/watch?v=RTwVPr_2_sU
4437,Human Resource Management,Recruitment & Selection,,Searching the Right Applicant || Searching the Right Candidate || HR Tutorials India,https://www.youtube.com/watch?v=ugPX7EmoPzg
4438,Human Resource Management,Recruitment & Selection,,Screen and Shortlist Applicants || Screen and Shortlist Candidates || HR Tutorials India,https://www.youtube.com/watch?v=lNqxPBdE0Qc
4439,Human Resource Management,Recruitment & Selection,,Evaluate and Control Applicants || How to Evaluate and Control Resources? || HR Tutorials India,https://www.youtube.com/watch?v=78JnKe3KvZg
4440,Human Resource Management,Recruitment & Selection,,Types of Recruitment || Different Types of Recruitment || HR Tutorials India || Recruitment Types,https://www.youtube.com/watch?v=XnLIDnKjJhU
4441,Human Resource Management,Recruitment & Selection,,Internal Sources of Recruitment || Types of Internal Sources of Recruitment || HR Tutorials India,https://www.youtube.com/watch?v=MYpvsva2Glc
4442,Human Resource Management,Recruitment & Selection,,External Sources of Recruitment || Types of External Sources of Recruitment || HR Tutorials India,https://www.youtube.com/watch?v=Bk_tAz6EY_I
4443,Human Resource Management,Recruitment & Selection,,How to Interview in Recruitment? || Types of Interviews in Recruitment || HR Tutorials India,https://www.youtube.com/watch?v=K93X65wOJb4
4444,Human Resource Management,Recruitment & Selection,,How to Interview? || How to Interview a Candidate? || HR Tutorials India | How to Interview Someone?,https://www.youtube.com/watch?v=jgzuMurQxIQ
4445,Human Resource Management,Recruitment & Selection,,What is the Importance of an Interview? || Importance of Interview || HR Tutorials India | Interview,https://www.youtube.com/watch?v=7FvIN65thQM
4446,Human Resource Management,Recruitment & Selection,,What is the Process of an Interview? | Process of Interview | HR Tutorials India | Interview Process,https://www.youtube.com/watch?v=iLt2ARFLGys
4447,Human Resource Management,Recruitment & Selection,,Types of Interviews || Different Types of Interviews || HR Tutorials India || Interview Types,https://www.youtube.com/watch?v=kBsA1ZyrukY
4448,Human Resource Management,Recruitment & Selection,,What Is Selection? | Importance Of Selection | HR Tutorials India | Process Of Selection | Selection,https://www.youtube.com/watch?v=VemAIQg9uC4
4449,Human Resource Management,Recruitment & Selection,,Importance Of Selection | What is Selection? | HR Tutorials India | Process Of Selection | Selection,https://www.youtube.com/watch?v=ZVYaXd0t7aA
4450,Human Resource Management,Recruitment & Selection,,Process Of Selection || Selection Process || HR Tutorials India || What Is Selection? || Selection,https://www.youtube.com/watch?v=ZuPgWmL8y8A
4451,Human Resource Management,Recruitment & Selection,,How to Negotiate Salary with a Candidate? || Salary Negotiation with a Resource | HR Tutorials India,https://www.youtube.com/watch?v=sTnOaY_JQ_s
4452,Human Resource Management,Recruitment & Selection,,How to Make a Job Offer? || How to Make an Offer? | HR Tutorials India | Making an Offer | Job Offer,https://www.youtube.com/watch?v=0yLD-_nmcDs
4453,Human Resource Management,Recruitment & Selection,,How to Prepare a Job Offer? || Prepare a Job Offer || HR Tutorials India || How to Prepare an Offer?,https://www.youtube.com/watch?v=7ddz1t8PJo4
4454,Human Resource Management,Recruitment & Selection,,What next after Issuing a Job Offer? || After Issuing a Job Offer || HR Tutorials India || Job Offer,https://www.youtube.com/watch?v=LlC87xJ_OtU
