Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo,Minimum Education,Language
1525,Journalism,History of Media,0hrs 1465min,History of Indian Press | History of Indian Newspapers | By Tushar Goyal (JRF),https://www.youtube.com/watch?v=2j5OCzR3FtA,Module 1: Early Print and Broadcast Media in India,1,12th,English/Hindi
1526,Journalism,History of Media,,"Development of Radio in India | 30+ MCQs | UGC NET, CUET, FTII| Mass Communication and Journalism",https://www.youtube.com/watch?v=bSig2x4FywI,Module 1: Early Print and Broadcast Media in India,1,12th,English/Hindi
1527,Journalism,History of Media,,"Radio Post-Independence | UGC NET, CUET, FTII| Mass Communication and Journalism",https://www.youtube.com/watch?v=c9wlUecBWhY,Module 1: Early Print and Broadcast Media in India,1,12th,English/Hindi
1528,Journalism,History of Media,,Mahatma Gandhi's Newspapers.,https://www.youtube.com/watch?v=xz1xzVYteoc,Module 1: Early Print and Broadcast Media in India,1,12th,English/Hindi
1529,Journalism,History of Media,,History of Indian media laws before independence | Media Law and Ethics | UGC NET Mass Communication,https://www.youtube.com/watch?v=zP5AIuhoC_M,Module 2: Evolution of Media in India: Legal and Technological  Developments,2,12th,English/Hindi
1530,Journalism,History of Media,,Evolution of New Media and Internet | Mass Communication & Journalism | UGC NET CUET,https://www.youtube.com/watch?v=0V9UKLLRZmw,Module 2: Evolution of Media in India: Legal and Technological  Developments,2,12th,English/Hindi
1531,Journalism,History of Media,,History of Doordarshan | Mass Communication and Journalism | UGC NET CUET COQP17 #masscommunication,https://www.youtube.com/watch?v=4eP46bEAs7Y,Module 2: Evolution of Media in India: Legal and Technological  Developments,2,12th,English/Hindi
1532,Journalism,History of Media,,5 important Questions related to Oscars,https://www.youtube.com/watch?v=1RSk1XdQa0M,Module 2: Evolution of Media in India: Legal and Technological  Developments,2,12th,English/Hindi
1533,Journalism,History of Media,,Media Organizations of Ministry of I & B | Mass Communication and Journalism | UGC NET | CUET,https://www.youtube.com/watch?v=hg3f6cG3CV0,"Module 3: Understanding Journalism: History, Types, and Evolution",3,12th,English/Hindi
1534,Journalism,History of Media,,Indian Media Laws Chronology 1799-2023 | Part 1|  Mass Communication and Journalism | UGC NET | CUET,https://www.youtube.com/watch?v=p-L0i4oCIYA,"Module 3: Understanding Journalism: History, Types, and Evolution",3,12th,English/Hindi
1535,Journalism,History of Media,,Indian Media Laws and Newspapers Chronology 1823-1910| Part 2|  Mass Communication and Journalism,https://www.youtube.com/watch?v=0UCVqpY8n3M,"Module 3: Understanding Journalism: History, Types, and Evolution",3,12th,English/Hindi
1536,Journalism,History of Media,,Indian Media Laws: Chronology 1910-2023|  Part 3|  Mass Communication and Journalism,https://www.youtube.com/watch?v=O9ede1IM9pU,"Module 3: Understanding Journalism: History, Types, and Evolution",3,12th,English/Hindi
1537,Journalism,History of Media,,"History of Journalism, Part 2 |  UGC NET Mass Communication & Journalism",https://www.youtube.com/watch?v=lyUnqd-ATY8,"Module 3: Understanding Journalism: History, Types, and Evolution",3,12th,English/Hindi
1538,Journalism,History of Media,,Types of Journalism  |  UGC NET Mass Communication & Journalism,https://www.youtube.com/watch?v=uIxzxFzg6xw,"Module 3: Understanding Journalism: History, Types, and Evolution",3,12th,English/Hindi
1539,Journalism,History of Media,,History of Journalism in India  |  UGC NET Mass Communication & Journalism,https://www.youtube.com/watch?v=Po7pWu8-mgQ,"Module 3: Understanding Journalism: History, Types, and Evolution",3,12th,English/Hindi
1540,Journalism,History of Media,,History of Journalism in India Part 2 |  UGC NET Mass Communication & Journalism,https://www.youtube.com/watch?v=jd8GBpliH_4,"Module 3: Understanding Journalism: History, Types, and Evolution",3,12th,English/Hindi
