Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
10713,Statistics,Probability Theory,14hrs 12min,Probability Theory 1 | Introduction (including R),https://www.youtube.com/watch?v=wgV0rjJqpqI
10714,Statistics,Probability Theory,,Probability Theory 2 | Probability Measures,https://www.youtube.com/watch?v=u5IouBwYji4
10715,Statistics,Probability Theory,,Probability Theory 3 | Discrete vs. Continuous Case,https://www.youtube.com/watch?v=XZHi51f-B9A
10716,Statistics,Probability Theory,,Probability Theory 4 | Binomial Distribution,https://www.youtube.com/watch?v=56zbWxJ3ono
10717,Statistics,Probability Theory,,Probability Theory 5 | Product Probability Spaces,https://www.youtube.com/watch?v=7WvdpFqptZk
10718,Statistics,Probability Theory,,Probability Theory 6 | Hypergeometric Distribution,https://www.youtube.com/watch?v=XV1w87Qkgls
10719,Statistics,Probability Theory,,Probability Theory 7 | Conditional Probability,https://www.youtube.com/watch?v=FQEjTqenTkw
10720,Statistics,Probability Theory,,Probability Theory 8 | Bayes's Theorem and Total Probability,https://www.youtube.com/watch?v=Y-MOGLJLlnY
10721,Statistics,Probability Theory,,Probability Theory 9 | Independence for Events,https://www.youtube.com/watch?v=4GfcBpoibig
10722,Statistics,Probability Theory,,Probability Theory 10 | Random Variables,https://www.youtube.com/watch?v=WPk-YahKyoE
10723,Statistics,Probability Theory,,Probability Theory 11 | Distribution of a Random Variable,https://www.youtube.com/watch?v=UOp3kFj0slo
10724,Statistics,Probability Theory,,Probability Theory 12 | Cumulative Distribution Function,https://www.youtube.com/watch?v=N3iXUaRhyt8
10725,Statistics,Probability Theory,,Probability Theory 13 | Independence for Random Variables,https://www.youtube.com/watch?v=lawe9TT1p18
10726,Statistics,Probability Theory,,Probability Theory 14 | Expectation and Change-of-Variables,https://www.youtube.com/watch?v=EhVbqe8J_Ww
10727,Statistics,Probability Theory,,Probability Theory 15 | Properties of the Expectation,https://www.youtube.com/watch?v=FGoEgJYsNRg
10728,Statistics,Probability Theory,,Probability Theory 16 | Variance,https://www.youtube.com/watch?v=lVEIHSM4ih8
10729,Statistics,Probability Theory,,Probability Theory 17 | Standard Deviation,https://www.youtube.com/watch?v=M3BggqD2L2U
10730,Statistics,Probability Theory,,Probability Theory 18 | Properties of Variance and Standard Deviation,https://www.youtube.com/watch?v=f0G2nZQxe08
10731,Statistics,Probability Theory,,Probability Theory 19 | Covariance and Correlation,https://www.youtube.com/watch?v=0XvJ6NOemEU
10732,Statistics,Probability Theory,,Probability Theory 20 | Marginal Distributions,https://www.youtube.com/watch?v=wJf1mJoxZk8
10733,Statistics,Probability Theory,,Probability Theory 21 | Conditional Expectation (given events),https://www.youtube.com/watch?v=GDQW5AC0SDQ
10734,Statistics,Probability Theory,,Probability Theory 22 | Conditional Expectation (given random variables),https://www.youtube.com/watch?v=fGimZIt-NxI
10735,Statistics,Probability Theory,,Probability Theory 23 | Stochastic Processes,https://www.youtube.com/watch?v=N8OZSyCvaU4
10736,Statistics,Probability Theory,,Probability Theory 24 | Markov Chains,https://www.youtube.com/watch?v=hDx2vL0-IbE
