Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
4088,Electrical Engineering,Renewable Energy,31hrs 16min,L-1|Introduction|Renewable Energy|Renewable sources of Energy for ESE|UPSC|ESE previous Years|UPPSC,https://www.youtube.com/watch?v=roxuawcqzCA
4089,Electrical Engineering,Renewable Energy,,L-2|Solar Energy|Renewable Energy for ESE|Basics of Solar Energy|UPSC|ESE|ESE 2021,https://www.youtube.com/watch?v=y90S2OqfjEQ
4090,Electrical Engineering,Renewable Energy,,L-3|Solar Angles|Latitude|Longitudes|Meridian|Hour Angle|Inclination|Zenith|Solar Constant|ESE|UPSC,https://www.youtube.com/watch?v=MhpwL3pn1oo
4091,Electrical Engineering,Renewable Energy,,L-4|Solar Thermal Energy Collector| Absorber Plate|Coating|Binder|Riser Tube|Solar Collector parts,https://www.youtube.com/watch?v=J4sWD0vOMTs
4092,Electrical Engineering,Renewable Energy,,L-5|Solar Collector|Types Of Sollar Collector|Focusing type|Non Focusing Type|Flat Plate Collector,https://www.youtube.com/watch?v=zeH01GJxalI
4093,Electrical Engineering,Renewable Energy,,L-6|Materials of solar Collector Elements|Elbido|Air Mass Flow|Tilt Factor|Evacuated tube collector,https://www.youtube.com/watch?v=tcgtITLnzs8
4094,Electrical Engineering,Renewable Energy,,L-7|Solar Tracker|Solar Radiation Measuring Devices|Fresnel Lens|Heat Pipe|Heliostat|Selectivity,https://www.youtube.com/watch?v=LX4f27TfEIo
4095,Electrical Engineering,Renewable Energy,,L-8|Solar Thermal Energy Collection|Sensible Heat Storage|Latent Heat storage|Thermo chemical Energy,https://www.youtube.com/watch?v=pzzgRbw8wj4
4096,Electrical Engineering,Renewable Energy,,L-9|Solar Cell|Solar panel|Fill Factor|Renewable Energy for ESE|Solar Module|Solar Cell Working|ESE,https://www.youtube.com/watch?v=I5qY9G8aWTA
4097,Electrical Engineering,Renewable Energy,,Lec-10|Wind Energy|ESE|Types |Yaw Control|TSR|Limitations|Turbine Blade|Nacelle|cutoff speed,https://www.youtube.com/watch?v=o2StwP4-AmA
4098,Electrical Engineering,Renewable Energy,,Lec-11|Biomass Energy|Bio mass|Extraction Method|Limitations of Various Methods|Fuel Combustion|ESE,https://www.youtube.com/watch?v=5cQD_xZph9U
4099,Electrical Engineering,Renewable Energy,,L-12|Fuel Cell|Types of Fuel Cell|Tidal Energy|MHD|Magneto Hydro Dynamics|Principle|Working|Tide|ESE,https://www.youtube.com/watch?v=ypA2c4b6qfo
