Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
7447,Information Technology,I.T Infrastructure,85hrs 17min,Lec.1 Introduction to IT Infrastructure | IT Infrastructure Architecture | Infrastructure Management,https://www.youtube.com/watch?v=X66tKUwVcQg
7448,Information Technology,I.T Infrastructure,,Availability of IT Infrastructure  | MTBF | MTTR | Recovery Point Objective| Recovery Time Objective,https://www.youtube.com/watch?v=vp-VQMgYZto
7449,Information Technology,I.T Infrastructure,,Performance Concepts  Managing Bottlenecks  |Performance Testing |Horizontal | vertical Scalability,https://www.youtube.com/watch?v=ykrRB2WnsMI
7450,Information Technology,I.T Infrastructure,,Security Concepts | Computer Crimes | Risk Management | Risk calculation | Risk Response | Exploits,https://www.youtube.com/watch?v=PmLbu8Itu_o
7451,Information Technology,I.T Infrastructure,,Security Controls | Confidentiality | Integrity and Availability levels |Core Goals of Security  CIA,https://www.youtube.com/watch?v=8-K684efJs0
7452,Information Technology,I.T Infrastructure,,Attack Vectors |Worms | Trojan Horses | DDoS & countermeasure|Social Engineering |Phishing |Baiting,https://www.youtube.com/watch?v=Ae-8Di9qYpA
7453,Information Technology,I.T Infrastructure,,Security Patterns | Identity and Access Management | Single Sign on | Federated Identity Management|,https://www.youtube.com/watch?v=Nmv0wjXgBHo
7454,Information Technology,I.T Infrastructure,,What is Data center | Types of Data center | Front-End Data center Traffic | Location of Datacenter,https://www.youtube.com/watch?v=3SidKfzNlv8
7455,Information Technology,I.T Infrastructure,,Physical Structure of Data center | Fire prevention and Suppression | Cool Airflow | Floor Tiles,https://www.youtube.com/watch?v=PR5TVfGOTs8
7456,Information Technology,I.T Infrastructure,,Datacenter Security  | Availability Tiers | Datacenter Performance,https://www.youtube.com/watch?v=9Ep_82yJB5Q
7457,Information Technology,I.T Infrastructure,,I.T Infrastructure  | Networking,https://www.youtube.com/watch?v=cs4UgUV9nJE
