Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
689,Aerospace Engineering,Aerodynamics,30hrs 15min,How we study aerodynamics [Aerodynamics #1],https://www.youtube.com/watch?v=QkaG-hDmRiQ
690,Aerospace Engineering,Aerodynamics,,Common aerodynamic variables [Aerodynamics #2],https://www.youtube.com/watch?v=svGjo7pzzF8
691,Aerospace Engineering,Aerodynamics,,Aerodynamic body forces and moments [Aerodynamics #3],https://www.youtube.com/watch?v=5LQxe4-BEcM
692,Aerospace Engineering,Aerodynamics,,Nondimensional numbers and Similarity [Aerodynamics #4],https://www.youtube.com/watch?v=29a9e_xI9Jg
693,Aerospace Engineering,Aerodynamics,,Conservation laws [Aerodynamics #5],https://www.youtube.com/watch?v=EovzNQ2oGyY
694,Aerospace Engineering,Aerodynamics,,Streamlines and stream function [Aerodynamics #6],https://www.youtube.com/watch?v=LWpSGsOYxPI
695,Aerospace Engineering,Aerodynamics,,Rotational and irrotational flow [Aerodynamics #7],https://www.youtube.com/watch?v=aRaNCZL7kEY
696,Aerospace Engineering,Aerodynamics,,Bernuolli and Laplace [Aerodynamics #8],https://www.youtube.com/watch?v=1dieMQe23N0
697,Aerospace Engineering,Aerodynamics,,Elementary flows [Aerodynamics #9],https://www.youtube.com/watch?v=fvq1bNiHgUM
698,Aerospace Engineering,Aerodynamics,,Kutta Joukowski theorem [Aerodynamics #10],https://www.youtube.com/watch?v=ylD7uJZWJgA
699,Aerospace Engineering,Aerodynamics,,Panel methods [Aerodynamics #11],https://www.youtube.com/watch?v=AGVG2K6R9GA
700,Aerospace Engineering,Aerodynamics,,Thin airfoil theory [Aerodynamics #12],https://www.youtube.com/watch?v=pXLcDYt2YSQ
701,Aerospace Engineering,Aerodynamics,,Airfoils and wings [Aerodynamics #13],https://www.youtube.com/watch?v=EtvOXTSFMKg
702,Aerospace Engineering,Aerodynamics,,What causes lift [Aerodynamics #13a],https://www.youtube.com/watch?v=J6h2UOlZQTI
703,Aerospace Engineering,Aerodynamics,,Drag and separation [Aerodynamics #14],https://www.youtube.com/watch?v=aa2qEF2QNuM
704,Aerospace Engineering,Aerodynamics,,Finite wing effects [Aerodynamics #15],https://www.youtube.com/watch?v=m6n_k5ArdwU
705,Aerospace Engineering,Aerodynamics,,Lifting line theory [Aerodynamics #16],https://www.youtube.com/watch?v=sAd55IRHNKM
706,Aerospace Engineering,Aerodynamics,,Intro to compressible flow [Aerodynamics #17],https://www.youtube.com/watch?v=dDSgUTgcMXg
707,Aerospace Engineering,Aerodynamics,,Normal shock waves [Aerodynamics #18],https://www.youtube.com/watch?v=GwNgymwwFAQ
708,Aerospace Engineering,Aerodynamics,,Oblique shocks and expansion fans [Aerodynamics #19],https://www.youtube.com/watch?v=XW2FH8Yn9yE
709,Aerospace Engineering,Aerodynamics,,Hypersonics [Aerodynamics #20],https://www.youtube.com/watch?v=bbaSjdYESkk
710,Aerospace Engineering,Aerodynamics,,Swimming and flying [Aerodynamics #21],https://www.youtube.com/watch?v=jiRWSgJuaw0
