Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
1837,Journalism,Environmental Impact Assessment,0hrs 338min,Environmental Impact Assessment,https://www.youtube.com/watch?v=9-MEVIXr3Ko
1838,Journalism,Environmental Impact Assessment,,Lecture 1: State of Global Environment (Air),https://www.youtube.com/watch?v=xCff_WC6se4
1839,Journalism,Environmental Impact Assessment,,Lecture 2: State of Global Environment (Biodiversity),https://www.youtube.com/watch?v=BciLqcUOIRo
1840,Journalism,Environmental Impact Assessment,,Lecture 3: State of Global Environment (Oceans and Coasts),https://www.youtube.com/watch?v=eIs4M__2QG0
1841,Journalism,Environmental Impact Assessment,,Lecture 4: State of Global Environment (Land and Soil),https://www.youtube.com/watch?v=IVYKnOmnhCI
1842,Journalism,Environmental Impact Assessment,,Lecture 5: State of Global Environment (Freshwater),https://www.youtube.com/watch?v=ZDROuj1-lB8
1843,Journalism,Environmental Impact Assessment,,"Lecture 6: Definition, Process and Purpose of EIA",https://www.youtube.com/watch?v=8vymfIfip2w
1844,Journalism,Environmental Impact Assessment,,"Lecture 7: EIA Impact Areas, Current and Emerging (Part 1)",https://www.youtube.com/watch?v=E_oRwSRdgcQ
1845,Journalism,Environmental Impact Assessment,,"Lecture 8: EIA Impact Areas, Current and Emerging (Part II)",https://www.youtube.com/watch?v=PrFskfLGHG8
1846,Journalism,Environmental Impact Assessment,,Lecture 9: EIA Origin in USA and World-Wide Development,https://www.youtube.com/watch?v=GyyyKMH-NhI
1847,Journalism,Environmental Impact Assessment,,Lecture 10: EIA in India,https://www.youtube.com/watch?v=7RXBhYPqoNM
1848,Journalism,Environmental Impact Assessment,,Lecture 11: World Sustainable Development Timeline (1970-1999),https://www.youtube.com/watch?v=4pR877ZFzyE
1849,Journalism,Environmental Impact Assessment,,Lecture 12: World Sustainable Development Timeline (2000-2021),https://www.youtube.com/watch?v=N8h3ej5FpsE
1850,Journalism,Environmental Impact Assessment,,"Lecture 13: EIA – Law, Policy and Institutional arrangements for EIA system",https://www.youtube.com/watch?v=7EdIFK15M48
1851,Journalism,Environmental Impact Assessment,,"Lecture 15: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-III) - Air",https://www.youtube.com/watch?v=_mLdjd7WqU4
1852,Journalism,Environmental Impact Assessment,,"Lecture 14: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-II)- Air",https://www.youtube.com/watch?v=Rit2V0hI5Q8
1853,Journalism,Environmental Impact Assessment,,"Lecture 16: EIA- Law, Policy and Institutional arrangements for EIA System (Part-IV) Water & Geology",https://www.youtube.com/watch?v=KcY_ejDrQeQ
1854,Journalism,Environmental Impact Assessment,,"Lecture 17: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part - V) Ecology",https://www.youtube.com/watch?v=aInnQTUOK9c
1855,Journalism,Environmental Impact Assessment,,"Lecture 18: EIA- Law, Policy & Institutional Arrangements (Part-VI)  Coastal Ecology & Geomorphology",https://www.youtube.com/watch?v=JDj4lZtQGuo
1856,Journalism,Environmental Impact Assessment,,"Lecture 19: EIA – Law, Policy and Institutional arrangements for EIA Systems (Part-VII) - Noise",https://www.youtube.com/watch?v=KnIKQ2R2b7w
1857,Journalism,Environmental Impact Assessment,,"Lecture 20:EIA–Law, Policy & Institutional arrangement for EIA System (Part-VIII) Ecosystem Services",https://www.youtube.com/watch?v=rF51muqjKVY
1858,Journalism,Environmental Impact Assessment,,"Lecture 21: EIA – Law, Policy and Institutional Arrangements (Part - IX) Cultural Heritage & Health",https://www.youtube.com/watch?v=NR2N57wFOog
1859,Journalism,Environmental Impact Assessment,,"Lecture 22: EIA - Law, Policy and Institutional Arrangements for EIA Systems (Part X)",https://www.youtube.com/watch?v=6Kd8SszxIcM
1860,Journalism,Environmental Impact Assessment,,"Lecture 23: EIA - Law, Policy and Institutional Arrangements for EIA Systems (Part XI)",https://www.youtube.com/watch?v=3A9jh7IxjIs
1861,Journalism,Environmental Impact Assessment,,"Lecture 24: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part – XII)",https://www.youtube.com/watch?v=Rd75otsU0ig
1862,Journalism,Environmental Impact Assessment,,"Lecture 25: EIA – Law, Policy and Institutional Arrangements for EIA Systems (Part-XIII)",https://www.youtube.com/watch?v=Qy3xdD2zQOE
1863,Journalism,Environmental Impact Assessment,,Lecture 26: EIA Process - Starting and Initial Stage,https://www.youtube.com/watch?v=LEWdIbgM_wo
1864,Journalism,Environmental Impact Assessment,,Lecture 27: EIA Process – Impact Prediction,https://www.youtube.com/watch?v=XwEscOBSTV8
1865,Journalism,Environmental Impact Assessment,,"Lecture 28: EIA Process– Impact Evaluation, Mitigation and Enhancement",https://www.youtube.com/watch?v=VlyqdbH-GbQ
1866,Journalism,Environmental Impact Assessment,,"Lecture 29: EIA Process – Participation, Presentation and Review",https://www.youtube.com/watch?v=kjxpjzlT5mY
1867,Journalism,Environmental Impact Assessment,,Lecture 30: EIA Process – Follow-Up (Monitoring and Auditing),https://www.youtube.com/watch?v=qrXQICBYLgw
1868,Journalism,Environmental Impact Assessment,,Lecture 31: EIA Methods - Air Assessment (Part I),https://www.youtube.com/watch?v=QlekFREMcEo
1869,Journalism,Environmental Impact Assessment,,Lecture 32: EIA Methods - Air Assessment (Part II),https://www.youtube.com/watch?v=tTtSZ66u0U8
1870,Journalism,Environmental Impact Assessment,,Lecture 33: EIA Methods - Water Assessment,https://www.youtube.com/watch?v=IESJafmMXFg
1871,Journalism,Environmental Impact Assessment,,"Lecture 34: EIA - Methods: Soil, Land and Geology",https://www.youtube.com/watch?v=_VADt0EzGno
1872,Journalism,Environmental Impact Assessment,,Lecture 35: EIA  Methods  – Climate and Climate Change - Part I,https://www.youtube.com/watch?v=GgPMIH5jVbY
1873,Journalism,Environmental Impact Assessment,,Lecture 36: EIA Methods - Climate and Climate Change - Part II,https://www.youtube.com/watch?v=YvwAoL0sUok
1874,Journalism,Environmental Impact Assessment,,Lecture 37: EIA Methods for Ecology (Definitions and Concepts),https://www.youtube.com/watch?v=JccYUuMn6hk
1875,Journalism,Environmental Impact Assessment,,Lecture 38: EIA Methods for Ecology (Baseline Study),https://www.youtube.com/watch?v=eNjEdyxgh6U
1876,Journalism,Environmental Impact Assessment,,Lecture 39: EIA Methods for Ecology (Impact Prediction and Evaluation),https://www.youtube.com/watch?v=ZJ8xTZKves4
1877,Journalism,Environmental Impact Assessment,,Lecture 40: EIA Methods - Ecosystem Services- Part I,https://www.youtube.com/watch?v=eHgkTS7TDVg
1878,Journalism,Environmental Impact Assessment,,Lecture 41: EIA Methods - Ecosystem Services - Part II,https://www.youtube.com/watch?v=gtmIC2UZFUY
1879,Journalism,Environmental Impact Assessment,,Lecture 42: EIA Methods - Coastal Ecology and Geomorphology - Part I,https://www.youtube.com/watch?v=3iaNadkT3TY
1880,Journalism,Environmental Impact Assessment,,Lecture 43: EIA Methods - Coastal Ecology and Geomorphology - Part II,https://www.youtube.com/watch?v=EZrGqYd2z6A
1881,Journalism,Environmental Impact Assessment,,Lecture 44: EIA Methods - Noise,https://www.youtube.com/watch?v=Sj1nS32TJQ8
