Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
11547,Adult Education,Health and Physical Education,27hrs 23min,"Health Education: Definition, aims and objectives | Health and Physical education",https://www.youtube.com/watch?v=SIRaDbEbRUY
11548,Adult Education,Health and Physical Education,,"Concept of Mind and Healthy Mind, Relation of Healthy Mind and Healthy Body",https://www.youtube.com/watch?v=ZdpEajI9k-s
11549,Adult Education,Health and Physical Education,,Role of teacher in development of health and good hygienic habits | Health and Physical Education,https://www.youtube.com/watch?v=mk005duUfFQ
11550,Adult Education,Health and Physical Education,,Health and Wellness | Health and Physical Education,https://www.youtube.com/watch?v=b_rB4S_D5dU
11551,Adult Education,Health and Physical Education,,"School Health Program: Health Services, Health Supervision and Health Instruction.",https://www.youtube.com/watch?v=5exhGHSRUEc
11552,Adult Education,Health and Physical Education,,"Hygiene Education: Definition, aims and objectives | Health and Physical Education",https://www.youtube.com/watch?v=5FnjRA6QpPM
11553,Adult Education,Health and Physical Education,,"Health: Concept, definition, dimensions and determinants.",https://www.youtube.com/watch?v=nzj5iM_CwPs
11554,Adult Education,Health and Physical Education,,"Physical Education: Concept, definition, aims andobjectives",https://www.youtube.com/watch?v=9c5UxdiKdP8
11555,Adult Education,Health and Physical Education,,Health and Physical Education and its relation with other subjects like science and Languages,https://www.youtube.com/watch?v=dMpcyQRVTAY
11556,Adult Education,Health and Physical Education,,"Recreation: Meaning, Significance and Recreational Programs in School | Health and Physical edu",https://www.youtube.com/watch?v=YY2AO0S3-v8
11557,Adult Education,Health and Physical Education,,"Tournaments -Types, inter-house competition, sportsmeet | Health and Physical Education",https://www.youtube.com/watch?v=KQp_IdncE7A
11558,Adult Education,Health and Physical Education,,Concept of Integrated Personality and its Realization through physical Education Program.,https://www.youtube.com/watch?v=pSSPTNqVeKo
11559,Adult Education,Health and Physical Education,,"Physical Education: Concept, definition, aims and objectives",https://www.youtube.com/watch?v=exlkFbku6iM
11560,Adult Education,Health and Physical Education,,"Athletic meet – Meaning, need and importance. Process to organize athletic meet at School level",https://www.youtube.com/watch?v=bnKN-53zu-o
11561,Adult Education,Health and Physical Education,,Importance of Meditation in school | Health and Physical Education,https://www.youtube.com/watch?v=GDU2D5rG-Eg
11562,Adult Education,Health and Physical Education,,"Introduction, Meaning and mis-concepts about Yoga | Yoga and Physical Fitness",https://www.youtube.com/watch?v=WOxGPHm714c
11563,Adult Education,Health and Physical Education,,"Organization and administration: planning, budgeting, fixture(Knock out and league)",https://www.youtube.com/watch?v=cuaKOWlGb0I
11564,Adult Education,Health and Physical Education,,"Postures: Importance of Good Posture, Common Postural Defects and Remedial Exercises.",https://www.youtube.com/watch?v=-jSpwsPw_aQ
11565,Adult Education,Health and Physical Education,,Sex Education and concerns for HIV/AIDS | health and Physical Education,https://www.youtube.com/watch?v=PqwbvExix68
11566,Adult Education,Health and Physical Education,,Rules and Regulations and skills of any one of the Games: Basketball | Health and Physical Education,https://www.youtube.com/watch?v=sZnHOi_wYig
11567,Adult Education,Health and Physical Education,,"Need, scope and Importance of Physical Education Programs at different school levels",https://www.youtube.com/watch?v=HhRGGbPxFms
11568,Adult Education,Health and Physical Education,,"Types of Yoga, Ashtang Yoga of Patanjali (Eight stages of Yoga) | Health and Physical Education",https://www.youtube.com/watch?v=Nan6Fyd5ujA
11569,Adult Education,Health and Physical Education,,Meaning and Importance of Pranayama and Shudhikriya | Health and Physical Education,https://www.youtube.com/watch?v=zEp9GpyCsXE
11570,Adult Education,Health and Physical Education,,"Nutrition: Elements of Balanced Diet, Food habits, Functions of Food and Malnutrition",https://www.youtube.com/watch?v=9ckTu7MTWWY
11571,Adult Education,Health and Physical Education,,Training methods of physical fitness | Health and Physical Education,https://www.youtube.com/watch?v=ktZ-9o5UPhM
11572,Adult Education,Health and Physical Education,,"Physical fitness: Meaning, importance. Motor component of physical fitness (strength, flexibility)",https://www.youtube.com/watch?v=CvL5CYP_Fnk
11573,Adult Education,Health and Physical Education,,"Wellness common Health Problems and Preventions: Accidents, Overpopulation, Alcoholism, Smoking",https://www.youtube.com/watch?v=pfcnoi7Et28
11574,Adult Education,Health and Physical Education,,"Communicable Diseases: Mode of Transmission, Methods of Prevention and Control | Health education",https://www.youtube.com/watch?v=pQeAS0xIZqA
