Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
12048,Music,Acoustic  greatest hits,10hrs 3min,John Mayer - Free Fallin' (Live at the Nokia Theatre),https://www.youtube.com/watch?v=20Ov0cDPZy8
12049,Music,Acoustic  greatest hits,,Ed Sheeran - Lego House | LIVE,https://www.youtube.com/watch?v=MYTQ2ZSkGfg
12050,Music,Acoustic  greatest hits,,Ed Sheeran - Thinking Out Loud (x Acoustic Session),https://www.youtube.com/watch?v=f6Cswdm601A
12051,Music,Acoustic  greatest hits,,Travie McCoy: Billionaire ft. Bruno Mars (LIVE ACOUSTIC),https://www.youtube.com/watch?v=qwlK5b4KYfI
12052,Music,Acoustic  greatest hits,,All of Me - John Legend (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=1iYUQW6RovY
12053,Music,Acoustic  greatest hits,,Stay With Me - Sam Smith (Acoustic Cover by Jona Selle),https://www.youtube.com/watch?v=azhj_3Vn0E4
12054,Music,Acoustic  greatest hits,,All of Me - John Legend (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=1iYUQW6RovY
12055,Music,Acoustic  greatest hits,,Bastille - Pompeii - Acoustic [ Live in Paris ],https://www.youtube.com/watch?v=ytie995zY-Q
12056,Music,Acoustic  greatest hits,,Passenger | Let Her Go | Your Take Sessions,https://www.youtube.com/watch?v=xUaqwwq8PXo
12057,Music,Acoustic  greatest hits,,Labrinth - Beneath Your Beautiful - Live Session,https://www.youtube.com/watch?v=6iD7SHWM_Y0
12058,Music,Acoustic  greatest hits,,John Mayer - Daughters (Live at the Nokia Theatre),https://www.youtube.com/watch?v=APh3jv7j8sU
12059,Music,Acoustic  greatest hits,,Water Runs Dry - Boyz II Men (Boyce Avenue acoustic cover) on Spotify & Apple,https://www.youtube.com/watch?v=dpUBL6S7Hrw
12060,Music,Acoustic  greatest hits,,Bruno Mars 'The Lazy Song' Live Studio Session at Mophonics Studio NY,https://www.youtube.com/watch?v=3FZtN7T5PXM
12061,Music,Acoustic  greatest hits,,Lifehouse - You and Me (Live & Rare Session) High Quality Audio,https://www.youtube.com/watch?v=WjCt1TtDbHw
12062,Music,Acoustic  greatest hits,,Lenny Kravitz (Can't get you off of my mind) (Acustic) {JohnFloyd},https://www.youtube.com/watch?v=2LzFAUavf-4
12063,Music,Acoustic  greatest hits,,Bedouin Soundclash - When The Night Feels My Song,https://www.youtube.com/watch?v=6zvBD3CsI0M
12064,Music,Acoustic  greatest hits,,Jason Mraz- Prettiest Friend,https://www.youtube.com/watch?v=rIZmDHPqGl4
12065,Music,Acoustic  greatest hits,,Dave Grohl - Times Like These (Acoustic),https://www.youtube.com/watch?v=2w0JiLKQ3-o
12066,Music,Acoustic  greatest hits,,Chris Cornell - Black Hole Sun,https://www.youtube.com/watch?v=ltc5EsuyBh4
12067,Music,Acoustic  greatest hits,,Audioslave - Doesn't Remind Me (Acoustic),https://www.youtube.com/watch?v=gSt8gJC692w
12068,Music,Acoustic  greatest hits,,Ed Sheeran - One [Official Music Video],https://www.youtube.com/watch?v=Ix9NXVIbm2A
12069,Music,Acoustic  greatest hits,,"Plain White T's - ""Hey There Delilah"" (Official Music Video)",https://www.youtube.com/watch?v=EbJtYqBYCV8
12070,Music,Acoustic  greatest hits,,Ed Sheeran - 'Photograph' (Capital Live Session),https://www.youtube.com/watch?v=SPKBtZHuzKY
