Unnamed: 0,Sector,CourseName,Duration,TopicName,URL
7485,Architecture,History of Western Architecture,50hrs 10min,Mesopotamian Architecture |Lecture-1| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=QBqCjY-l9c4
7486,Architecture,History of Western Architecture,,Egyptian Architecture |Lecture-2| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=8QvCiUHNAMU
7487,Architecture,History of Western Architecture,,Greek Architecture |Lecture-3| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=I6Z8sKSzOJ0
7488,Architecture,History of Western Architecture,,Roman Architecture |Lecture-4| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=1GE64OlyH08
7489,Architecture,History of Western Architecture,,Romanesque Architecture |Lecture-5| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=3M2WZTXNCBs
7490,Architecture,History of Western Architecture,,Gothic Architecture |Lecture-6| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=NTxtTIIjWCY
7491,Architecture,History of Western Architecture,,Renaissance Architecture |Lecture-7| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=-mbXs1Cqr5I
7492,Architecture,History of Western Architecture,,Baroque Architecture |Lecture-8| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=lcssLfo_Bls
7493,Architecture,History of Western Architecture,,Rococo Architecture |Lecture-9| History of western Architecture | B.Arch NATA JEE| HINDI,https://www.youtube.com/watch?v=oRPdSZGnLWA
7494,Architecture,History of Western Architecture,,Impact of Industrial Revolution on Architecture| History of western Architecture | B.Arch| HINDI,https://www.youtube.com/watch?v=sH-8Bchosio
7495,Architecture,History of Western Architecture,,"Walter Gropius |Philosophy of Architects| Bauhaus School, Works Achievement, Ideology |HINDI|",https://www.youtube.com/watch?v=GC_GkqLtYog
7496,Architecture,History of Western Architecture,,"Frank Lloyd Wright |Philosophy of Architects| Falling Water, Works Achievement, Ideology |HINDI|",https://www.youtube.com/watch?v=Sp8JhmqaYV4
7497,Architecture,History of Western Architecture,,"Mies van der Rohe |Philosophy of Architects| Falling Water, Works Achievement, Ideology |HINDI|",https://www.youtube.com/watch?v=9DP3KtwZDWk
7498,Architecture,History of Western Architecture,,"Le Corbusier |Philosophy of Architects| Villa Savoye, Votre dame Works Achievement, Ideology |HINDI|",https://www.youtube.com/watch?v=FPpdsAKeMBM
