Unnamed: 0,Sector,CourseName,Duration,TopicName,URL,Module,ModuleNo
7981,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),53hrs 20min,INTRODUCTION | The Lean Startup Audiobook,https://www.youtube.com/watch?v=QFoDiAbmYXI,Module 1: Introduction & Vision,1
7982,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 1 (VISION) - CHAPTER 1: START | The Lean Startup Audiobook,https://www.youtube.com/watch?v=jFiuzgMYAg8,Module 1: Introduction & Vision,1
7983,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 1 (VISION) - CHAPTER 2: DEFINE | The Lean Startup Audiobook,https://www.youtube.com/watch?v=Z2g9SIbflTA,Module 1: Introduction & Vision,1
7984,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 1 (VISION) - CHAPTER 3: LEARN | The Lean Startup Audiobook,https://www.youtube.com/watch?v=nGG7sxruUMY,Module 1: Introduction & Vision,1
7985,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 1 (VISION) - CHAPTER 4: EXPERIMENT | The Lean Startup Audiobook,https://www.youtube.com/watch?v=Jlm1TaPmrxg,Module 2: Defining & Learning,2
7986,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 2 (STEER)  | The Lean Startup Audiobook,https://www.youtube.com/watch?v=YUfS42wZP0M,Module 2: Defining & Learning,2
7987,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 2 (STEER) - CHAPTER 5: LEAP | The Lean Startup Audiobook,https://www.youtube.com/watch?v=-sIi6Ft9VxU,Module 2: Defining & Learning,2
7988,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 2 (STEER) - CHAPTER 6: TEST | The Lean Startup Audiobook,https://www.youtube.com/watch?v=ABLP8hrNiJo,Module 3: Experimenting & The Leap,3
7989,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 2 (STEER) - CHAPTER 7: MEASURE | The Lean Startup Audiobook,https://www.youtube.com/watch?v=OYtXIGlm4RA,Module 3: Experimenting & The Leap,3
7990,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 2 (STEER) - CHAPTER 8: PIVOT (OR PERSEVERE) | The Lean Startup Audiobook,https://www.youtube.com/watch?v=twoKiiu_G9M,Module 4: Testing & Measuring,4
7991,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 3 (ACCELERATE)  | The Lean Startup Audiobook,https://www.youtube.com/watch?v=-rxFvjwbeXA,Module 4: Testing & Measuring,4
7992,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 3 (ACCELERATE) - CHAPTER 9: BATCH | The Lean Startup Audiobook,https://www.youtube.com/watch?v=0MJpGUtz0DU,Module 5: Pivoting & Batching,5
7993,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 3 (ACCELERATE) - CHAPTER 10: GROW | The Lean Startup Audiobook,https://www.youtube.com/watch?v=dcXSVB-upO0,Module 5: Pivoting & Batching,5
7994,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 3 (ACCELERATE) - CHAPTER 11: ADAPT | The Lean Startup Audiobook,https://www.youtube.com/watch?v=FgjrLBSJLoQ,Module 6: Growth & Adapting,6
7995,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 3 (ACCELERATE) - CHAPTER 12: INNOVATE | The Lean Startup Audiobook,https://www.youtube.com/watch?v=sPT9RUe928A,Module 6: Growth & Adapting,6
7996,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 3 (ACCELERATE) - CHAPTER 13: EPILOGUE: WASTE NOT | The Lean Startup Audiobook,https://www.youtube.com/watch?v=lWdqfJmNzRU,Module 7: Innovation & Waste Not,7
7997,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,PART 3 (ACCELERATE) - CHAPTER 14: JOIN THE MOVEMENT | The Lean Startup Audiobook,https://www.youtube.com/watch?v=14m4Vp2AivE,Module 7: Innovation & Waste Not,7
7998,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,ENDNOTES | The Lean Startup Audiobook,https://www.youtube.com/watch?v=RWFdv-OwCCY,"Module 8: Movement, Endnotes & Disclosures",8
7999,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,DISCLOSERS | The Lean Startup Audiobook,https://www.youtube.com/watch?v=aHz-fWl8pKg,"Module 8: Movement, Endnotes & Disclosures",8
8000,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,ACKNOWLEGEMENTS | The Lean Startup Audiobook,https://www.youtube.com/watch?v=KsOgxAVA4BA,"Module 8: Movement, Endnotes & Disclosures",8
8001,Entrepreneurship,THE LEAN STARTUP (FREE FULL AUDIOBOOK),,ABOUT THE AUTHOR | The Lean Startup Audiobook,https://www.youtube.com/watch?v=0T8xIXeT5zw,"Module 8: Movement, Endnotes & Disclosures",8
